| case          | MNB   | MNS  | MML  | page | K    | p_blk             | rate | req/s | out_tok/s | ttft_mean | ttft_p99  | itl_mean | itl_p99 | dur_s | id           |
| prefill_heavy | 2048  | 128  | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.49  | 4.49      | 113412.70 | 221041.43 | 0.00     | 0.00    | 238   | df6000c654ef |
| prefill_heavy | 8192  | 128  | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.47  | 4.47      | 117521.79 | 223595.66 | 0.00     | 0.00    | 239   | 53a6035d09cc |
| prefill_heavy | 8192  | 1000 | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.46  | 4.46      | 117802.46 | 223938.97 | 0.00     | 0.00    | 239   | 099b260077d3 |
| prefill_heavy | 2048  | 1000 | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.46  | 4.46      | 113976.32 | 222151.77 | 0.00     | 0.00    | 239   | 0b6ab50d2d3d |
| prefill_heavy | 4096  | 128  | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.44  | 4.44      | 116196.51 | 223389.86 | 0.00     | 0.00    | 240   | 8d4a0ac0a879 |
| prefill_heavy | 4096  | 1000 | 8192 | 128  | 128  | 128,512,128,256   | inf  | 4.43  | 4.43      | 116587.05 | 224047.25 | 0.00     | 0.00    | 241   | 69071a4dd804 |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 3.39  | 3.39      | 149191.85 | 293169.91 | 0.00     | 0.00    | 310   | 5c2c90bccf05 |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 3.39  | 3.39      | 153438.14 | 294727.06 | 0.00     | 0.00    | 310   | a21f39fed029 |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 3.39  | 3.39      | 153505.75 | 294816.46 | 0.00     | 0.00    | 310   | e9fa71508e7f |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 3.39  | 3.39      | 149405.90 | 293531.73 | 0.00     | 0.00    | 310   | f1becb7a1cc2 |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 2048 | 256,2048,256,512  | inf  | 3.37  | 3.37      | 149477.64 | 294362.35 | 0.00     | 0.00    | 312   | 0d52bbe9561d |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 2048 | 256,2048,256,512  | inf  | 3.37  | 3.37      | 149455.43 | 294465.03 | 0.00     | 0.00    | 312   | 8d9037f1b0cc |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 512  | 256,1024,256,1024 | inf  | 3.36  | 3.36      | 152011.97 | 296600.30 | 0.00     | 0.00    | 312   | 1a114ce287e6 |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 512  | 256,1024,256,1024 | inf  | 3.36  | 3.36      | 152136.20 | 296843.06 | 0.00     | 0.00    | 313   | e82afef02bee |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 0    | default           | inf  | 3.28  | 3.28      | 152790.94 | 301530.82 | 0.00     | 0.00    | 319   | 6dc80b2a3b37 |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 0    | default           | inf  | 3.28  | 3.28      | 152837.12 | 301655.23 | 0.00     | 0.00    | 320   | d583ef2e63c5 |
| prefill_heavy | 10275 | 128  | 8192 | 128  | 128  | 128,512,128,256   | inf  | 3.26  | 3.26      | 165506.69 | 306722.94 | 0.00     | 0.00    | 322   | 6554263769c1 |
| prefill_heavy | 10275 | 1000 | 8192 | 128  | 128  | 128,512,128,256   | inf  | 3.25  | 3.25      | 165791.55 | 307259.28 | 0.00     | 0.00    | 322   | d5e267b42694 |

Exported absolute best configuration to: tools/benchmark/cases/v7x/llama3_8b/production.service
