Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 16:54:48,0.0,0.0,0,0,0.0,0.0
09-03 16:54:58,0.0,0.0,0,0,0.0,0.0
09-03 16:55:08,0.0,0.0,0,0,0.0,0.0
09-03 16:55:18,21.297449229463126,21.897377376771946,1,0,0.020613456464380064,0.0
09-03 16:55:28,0.0,34.19948227561587,1,0,0.028858839050131813,0.0
09-03 16:55:38,0.0,34.19950055927183,1,0,0.03298153034300838,0.0
09-03 16:55:48,0.0,34.30103847564074,1,0,0.03710422163588356,0.0
09-03 16:55:58,0.0,34.19775918810341,1,0,0.04534960422163531,0.0
09-03 16:56:08,0.0,34.196802459173554,1,0,0.04947229551451188,0.0
09-03 16:56:18,0.0,34.19922122485171,1,0,0.053594986807388445,0.0
09-03 16:56:28,0.0,34.1967276261222,1,0,0.06184036939314019,0.0
09-03 16:56:38,0.0,34.198269153099275,1,0,0.06596306068601537,0.0
09-03 16:56:48,39.59716292049954,33.49759994537209,1,0,0.020613456464380064,0.0
09-03 16:56:58,0.0,34.19732247496924,1,0,0.028858839050131813,0.0
09-03 16:57:08,0.0,34.2975307570229,1,0,0.03298153034300838,0.0
09-03 16:57:18,0.0,34.20087834257718,1,0,0.03710422163588356,0.0
09-03 16:57:28,0.0,34.19697749444693,1,0,0.04534960422163531,0.0
09-03 16:57:38,0.0,34.197908971844285,1,0,0.04947229551451188,0.0
09-03 16:57:48,0.0,34.29913980137001,1,0,0.053594986807388445,0.0
09-03 16:57:58,0.0,34.19773613403341,1,0,0.06184036939314019,0.0
09-03 16:58:08,0.0,34.19693564619196,1,0,0.06596306068601537,0.0
09-03 16:58:18,0.0,34.197059689736676,1,0,0.07008575197889194,0.0
09-03 16:58:28,0.0,34.196771468970866,1,0,0.07833113456464369,0.0
09-03 16:58:38,0.0,34.19548758005426,1,0,0.08245382585752026,0.0
09-03 16:58:48,0.0,34.19916422020783,1,0,0.08657651715039544,0.0
09-03 16:58:58,0.0,34.19750999783408,1,0,0.09482189973614719,0.0
09-03 16:59:08,0.0,34.1957532675268,1,0,0.09894459102902375,0.0
09-03 16:59:18,0.0,34.19644663649508,1,0,0.10306728232190032,0.0
09-03 16:59:28,88.80577777477603,31.702062561490994,1,0,0.028858839050131813,0.0
09-03 16:59:38,0.0,34.294213615841436,1,0,0.03710422163588356,0.0
09-03 16:59:48,0.0,34.19738848599323,1,0,0.04122691292876013,0.0
09-03 16:59:58,0.0,34.19583077275699,1,0,0.04534960422163531,0.0
09-03 17:00:08,0.0,34.197196092020846,1,0,0.053594986807388445,0.0
